id	review
9252_3	"The Mill on the Floss' was one of the lesser novels by Mary Ann Evans, who wrote under the male pseudonym George Eliot. I tried to read this dull and very turgid novel years ago, but was unable to finish it. I'll review this film version solely on its own merits, as I don't know how faithfully it follows the original novel.<br /><br />The film's opening credits are printed in an Old English typeface that suggests the mediaeval period, and so it's a very poor choice for a film with a 19th-century setting. (On the other hand, about halfway into the film, we see a close-up shot of a handbill advertising an estate auction. This handbill is set in authentic Victorian type fonts, and looks *very* convincing.) Most of this film is extremely convincing in its depiction of the architecture and clothing of early 19th-century England. The precise location of this film's story is never disclosed, but - judging by the actors' accents - I'd place it as somewhere in the Cotswolds, perhaps Warwickshire.<br /><br />The plot, what there is of it, involves a mill that changes hands a couple of times (over a couple of decades) between two rival families, one wealthy and one working-class. I disagree with another IMDb reviewer who claims that James Mason has only a small role in this film. Mason has the largest and most central role in this drama, as the scion of the wealthier family. As the spoilt and petulant Tom Tulliver, Mason is darkly brooding and impetuous. His performance here belongs in a better film: it made me want to see 'Wuthering Heights' recast with Mason as Heathcliff.<br /><br />As this is a multi-generational saga (something which George Eliot did much better in 'Middlemarch'), several of the main roles in this film are split among two actors apiece: child actors in the prologue, adults in the main narrative. The prologue of this film features a very well-written scene, establishing Tom Tulliver as wilful and bully-ragging from an early age, and young Philip Wakeham as decent and thoughtful. Through hard labour, Philip has earned a halfpenny: Tom tries to bully it away from him, but is unwilling to take the coin by brute force: he wants Philip to *give* it to him. All the child actors in this movie, male and female, are talented and attractive. Unfortunately, all of the children speak their dialogue in posh plummy-voiced accents that are utterly unlike the accents of the actors and actresses who play those same roles as adults. This discrepancy calls attention to the staginess of the material. Regrettably, none of the later scenes are as good as this prologue.<br /><br />The climax features a crowd of labourers in a rainstorm, much better paced and photographed than the earlier scenes. But modern viewers (in Britain, at least) can no longer take this sort of material seriously. By now, practically every British comedian has done a \trouble at t' mill, squire\"" comedy routine, parodying precisely this subject matter, so I had difficulty watching this movie with a straight face.<br /><br />The character actress Martita Hunt is good in a small role, but the opening credits (in that Old English typeface) misspell her forename as 'Marita'. I'll rate this dull movie 3 points out of 10: one point apiece for James Mason's performance, the early scene with the children, and the authentic Victorian typesetting in that auctioneer's handbill."""
9896_9	"I just saw this film at the phoenix film festival today and loved it. The synopsis was listed in our program as \an old Shakespearean actor invites his three children to his suicide party\"". I wasn't sure if I was going to see it because when I read about it I liked the idea of a \""suicide party\"" it sounded very interesting to me, but \""old Shakespearean actor\"" had me worried that the film would be kind of dry and boring. But I decided to give it a try. I am glad that I did. It was not dry and boring in the least, that dialogue was great, funny in a clever way, but not pretentious and difficult to understand. Peter Falk was terrific in this role, he stole the show. I also was pleasantly surprised by Laura San Giacomo's performance, usually she bugs me, but I enjoyed watching her in this film very much. I think Judge Reinhold's part could have been done better by another actor, at times he seemed kind of cheesy and it looked like acting, not like you were just watching this character. But the movie was so good I was able to forgive one actor's awkwardness. I would recommend this film to anyone and have already told a few people to see it as soon as it is available to the general public. Who knew suicide could be so hilarious?"""
574_4	"\The Love Letter\"" is one of those movies that could have been really clever, but they wasted it. Focusing on a letter wreaking havoc in a small town, the movie has an all-star cast with nothing to do. Tom Selleck and Alice Drummond had so recently co-starred in the super-hilarious \""In & Out\"" (also about an upset in a small town), in which they were both great, but here they look as though they're getting drug all over the place. I can't tell what the people behind the camera are trying to do here (if anything), but they sure didn't accomplish anything. How tragic, that a potential laugh riot got so sorrowfully wasted."""
11182_8	"Another fantastic offering from the Monkey Island team and though it was a long time coming and had to survive the departure of Ron Gilbert it's another worthy installment. My only gripe is that it was a little short seeming in comparison to the previous two, though that might be because of a glorious lack of disk-swapping. Roll on MI4."
11656_4	"This was included on the disk \Shorts: Volume 2\""--a rather dull collection of short films. Shorts are among my favorite style of films but somehow the people assembling this second collection had a hard time finding quality content--and it wasn't nearly as good as the first volume or other shorts collections. <br /><br />This short film feels like it's woefully incomplete. There is a story, but so much in unanswered that the viewer, like me, feels a bit left out and unfulfilled.<br /><br />The film begins with a woman, her boyfriend and her Westie (that's a dog, by the way) going to a lonely beach. The lady speaks with an accent that, at times, is a bit difficult to follow. Given that I am hard of hearing, I sure would have loved if it had been closed captioned. Anyway, the boyfriend goes for a swim while she naps. When she awakens, her dog is gone. She panics and makes the guy follow her all about looking for the dog. They spend most of the time arguing and being disagreeable. Then, out of the blue, they stop to have sex. Later, they find the dog--end of story.<br /><br />As far as the characters go, both seemed rather dysfunctional and unlikable. She was a fussy and demanding lady and he seemed to have contempt for her. When you wondered why they were together, their little sex break showed what bond kept them together.<br /><br />Some might like the characterizations--I kept finding the people irritating and unreal--more like caricatures than people you might meet or know. Also, the payoff for all this just isn't worth the wait (unless you want to see the guy naked)."""
2322_4	"I'm not really much of an Abbott & Costello fan (although I do enjoy \Who's On First\"") and, to be honest, there wasn't much in this movie that would inspire me to watch any more of their work. It wasn't really bad. It had some mildly amusing scenes, and actually a very convincing giant played by Buddy Baer, but somehow, given the fame of the duo and the esteem in which they're generally held, I have to say I was expecting more. As the story goes, the pair stumble into a babysitting job, and during the reading of Jack & The Beanstalk as a bedtime story (with the kid reading it to Costello), Costello's Jack falls asleep and dreams himself into the story. There's a \""Wizard Of Oz\"" kind of feel to the story, in that the characters in the dream are all the equivalents of real-life acquaintances of Jack, and the movie opens in black & white and shifts to colour during the dream sequence. The fight scenes between Jack and the giant and the dance scene between Jack and Polly (Dorothy Ford) are among the amusing parts of the movie. Polly, of course, also leads to one of the questions of the movie - what happened to her? Jack and gang apparently left her behind in the giant's castle! I know - it was just a dream, so who cares. Still - I wondered. There were also a couple of cute song and dance routines. My 4 year old giggled a bit during this, so she was able to appreciate some of the humour. I found it to be an acceptable timewaster, but certainly not anything that would convince you of Abbott and Costello as comic geniuses. 4/10"""
8703_1	"This movie was dreadful. Biblically very inaccurate. Moses was 80 years old when he led the people out of Egypt, the movie has him about forty. Moses was about forty when he fled Egypt, was gone for forty years, and was with them wandering for forty years. Moses was 120 years old when he died, and was denied the privilege of crossing over to the promised land. I realize movies use a lot of \poetic license\"" as the biblical account isn't that long, but, if making a biblical movie they still need to reflect the facts known, and keep the general flavor of the main biblical character, this movie fails in this aspect, and in many others.Even though the 1956 version has its problems as well, theatrically it was much better."""
7483_1	"I don't think I've ever gave something a 1/10 rating, but this one easily gets the denomination. I find it hard just to sit through one of his jokes. It's not just that the jokes are so bad, but combine that with the fact that Carson Daily has zero charisma, can't set up or finish a punchline, and you've got a late night comedy recipe that will really turn your stomach.<br /><br />I have watched the show, never in its entirety, but many times still. It just creeps up on me after Conan. I usually watch a minute or two just to see if Carson daily is still the worst talk show host ever.<br /><br />Actually if you ever do see him interviewing a guest, it's just that, an interview. I feel so sorry every time he has a guest on and their confused smiles try to mask their body language that's screaming, \get me the hell away from this freak!\"" I do recommend watching the show, not for a laugh, but to ponder, how he got on the air and what he's still doing there. Watch as much as you can, I think you will find its complete awkwardness...interesting."""
574_41	"Worst movie I ever watched. A long trodden movie, which hurts your knees and brain"
11656_41	one out of ten. Rotten movie. It sucks. 
2322_41	Pathetic movie. Amateur direction and editing
8703_11	Don't waste your time and money
7483_12	Acting is as good as None.
